Player,Age,Pos,Team,TOI Org ES,TOI Org PP,TOI Org PK,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PP Points,Hits,BLK,PIM,FOW,FOL,GV,TK,SOG,Value,VAR,Rank (VAR),Fantasy Team,Pts
Michael Chaput,28,"C,RW",ARI,9.13,0,2.1,9.13,0,2.1,11.23,3,8,11,0,91,29,26,211,206,14,12,53,-374,-377,723,,58.2
Alex Petrovic,28,D,BOS,14.79,0,0,14.79,0,0,14.79,1,6,7,0,144,61,40,0,0,26,21,59,-326,-271,633,,58.2
Markus Hannikainen,27,"LW,RW",ARI,8.89,0,0,8.89,0,0,8.89,6,5,11,0,68,18,8,3,2,6,15,59,-384,-371,717,,58
Christian Jaros,24,D,OTT,13.72,0,0,13.72,0,0,13.72,1,5,6,0,105,69,22,0,0,24,19,56,-325,-269,630,,57.8
Frederik Gauthier,25,"C,RW",TOR,8.48,0,1.09,8.48,0,1.09,9.56,5,7,12,0,67,22,8,211,180,12,7,39,-409,-412,742,,57.6
Tim Schaller,30,"C,LW",LA,8.56,0,2.38,8.56,0,2.38,10.93,5,5,10,0,61,29,14,13,15,10,16,54,-381,-369,714,,57.4
Matt Irwin,33,D,ANA,12.55,0,0,12.55,0,0,12.55,1,5,6,0,108,60,16,0,0,22,18,72,-314,-258,620,,57.4
David Schlemko,33,D,PHI,15.86,0,0,15.86,0,0,15.86,0,3,3,0,63,90,10,0,0,28,22,62,-294,-238,595,,57.4
Clark Bishop,24,C,CAR,9.34,0,0,9.34,0,0,9.34,4,9,13,0,112,14,18,182,201,14,14,43,-413,-435,752,,57.2
Braydon Coburn,35,D,TB,13.04,0,1.32,13.04,0,1.32,14.35,2,7,9,0,73,42,24,0,0,24,19,57,-358,-303,659,,57.2
Garrett Wilson,29,"LW,RW",TOR,7.27,0,0,7.27,0,0,7.27,5,6,11,0,113,16,20,4,5,6,5,62,-388,-375,720,,56.8
Miikka Salomaki,27,"LW,RW",TOR,10.2,0,0,10.2,0,0,10.2,5,4,9,0,114,30,25,4,7,8,10,64,-370,-357,705,,56.8
Anthony Bitetto,30,D,WPG,12.5,0,2.17,12.5,0,2.17,14.66,1,6,7,0,132,61,32,0,0,27,20,52,-346,-290,654,,56.8
Dion Phaneuf,35,D,LA,13.86,0,0,13.86,0,0,13.86,1,5,6,0,102,66,30,0,0,24,19,57,-333,-277,638,,56.8
Dominic Toninato,26,"C,LW",FLA,10.13,0,0,10.13,0,0,10.13,4,7,11,0,61,27,35,146,171,14,17,44,-401,-388,730,,56.6
Vladislav Kamenev,24,"C,RW",COL,7.99,1.17,0,7.99,1.17,0,9.16,2,10,12,4,53,21,12,105,91,11,18,51,-394,-397,735,,56.6
Nic Petan,25,"LW,RW",TOR,9.83,0,0,9.83,0,0,9.83,3,9,12,0,18,14,13,20,26,8,14,60,-390,-378,724,,56.6
Ben Street,33,"C,LW",NJ,9.72,0,0,9.72,0,0,9.72,6,6,12,0,47,15,6,28,56,11,6,42,-422,-409,740,,56.4
Jarred Tinordi,28,D,NSH,14.96,0,0,14.96,0,0,14.96,1,7,8,0,136,56,43,0,0,26,21,44,-366,-310,667,,56.2
Juuso Riikola,27,D,PIT,13.16,1.08,0,13.16,1.08,0,14.24,1,8,9,2,118,40,11,0,0,26,19,60,-362,-306,662,,56
Dale Weise,32,"LW,RW",MON,8.73,0,1.29,8.73,0,1.29,10.02,4,7,11,0,133,25,27,1,5,23,17,44,-408,-396,733,,55.8
Tom Kuhnhackl,29,"LW,RW",NYI,9.92,0,0,9.92,0,0,9.92,4,5,9,0,78,36,6,0,2,20,8,50,-390,-378,724,,55.4
Matt Martin,31,LW,NYI,10.11,0,0,10.11,0,0,10.11,5,5,10,0,183,23,25,5,5,15,10,52,-409,-396,733,,54.6
Andy Welinski,27,D,PHI,15.19,0,0,15.19,0,0,15.19,2,6,8,0,97,39,18,0,0,26,21,65,-367,-311,669,,54.6
Vinni Lettieri,25,"C,RW",NYR,9.78,0,0,9.78,0,0,9.78,4,6,10,0,73,18,13,14,16,17,11,65,-396,-399,736,,54.2
Greg McKegg,28,"C,LW",NYR,8.64,0,1.05,8.64,0,1.05,9.69,5,5,10,0,61,26,14,143,140,12,15,42,-425,-412,742,,53.8
Dmytro Timashov,24,"LW,RW",DET,8.51,0,0,8.51,0,0,8.51,4,7,11,0,121,15,20,0,0,8,6,50,-429,-416,745,,53
Mark Barberio,30,D,COL,13.23,0,0,13.23,0,0,13.23,0,7,7,0,31,48,39,0,0,23,19,64,-365,-309,665,,53
Jacob de la Rose,25,"C,LW",STL,9.64,0,1.31,9.64,0,1.31,10.95,3,7,10,0,122,24,15,146,190,11,16,51,-417,-404,738,,52.8
Gabriel Bourque,30,"LW,RW",WPG,7.89,0,2.44,7.89,0,2.44,10.33,3,5,8,0,126,45,5,4,12,12,10,37,-417,-404,738,,52.4
Zac Rinaldo,30,"C,LW",CGY,7.86,0,0,7.86,0,0,7.86,5,5,10,0,139,21,51,1,4,11,12,45,-435,-422,748,,52.4
Steven Kampfer,32,D,BOS,13.25,0,0,13.25,0,0,13.25,2,3,5,0,82,59,37,0,0,23,19,57,-374,-318,674,,52
Joseph Blandisi,26,"C,LW",MON,8.21,0,0,8.21,0,0,8.21,4,7,11,0,71,21,31,88,128,5,19,32,-456,-443,756,,51.8
Chad Ruhwedel,30,D,PIT,13.45,0,1.29,13.45,0,1.29,14.74,2,5,7,0,98,40,17,0,0,26,19,62,-391,-335,685,,51.4
Michael McLeod,22,C,NJ,12.2,0,0,12.2,0,0,12.2,3,8,11,0,111,11,23,180,157,21,31,53,-440,-462,764,,51
Ryan Poehling,22,"C,LW",MON,9.84,0,0,9.84,0,0,9.84,4,5,9,0,77,22,9,7,26,17,15,55,-428,-416,745,,50.8
Casey Nelson,28,D,BUF,14.72,0,0,14.72,0,0,14.72,1,6,7,0,48,44,11,0,0,26,21,56,-397,-341,691,,50.8
Ben Harpur,26,D,NSH,14.77,0,2.43,14.77,0,2.43,17.21,1,4,5,0,104,62,35,0,0,31,23,50,-386,-330,680,,50.8
John Hayden,25,"LW,RW",NJ,9.31,0,0,9.31,0,0,9.31,4,4,8,0,120,30,47,6,19,8,16,52,-426,-414,744,,50.4
Paul LaDue,28,D,LA,12.87,0,0,12.87,0,0,12.87,2,5,7,0,86,40,6,0,0,22,18,56,-407,-351,701,,50.2
Cale Fleury,22,D,MON,14.08,0,0,14.08,0,0,14.08,1,3,4,0,132,62,9,0,0,25,20,61,-376,-320,677,,50
Justin Abdelkader,33,"LW,RW",DET,10.02,0,1.3,10.02,0,1.3,11.32,3,6,9,0,115,26,29,37,35,21,10,47,-440,-427,750,,49.8
Dan Hamhuis,38,D,NSH,12.18,0,2.06,12.18,0,2.06,14.24,1,6,7,0,51,50,30,0,0,27,19,39,-421,-365,710,,49.8
Julius Honka,25,D,DAL,12.92,0,0,12.92,0,0,12.92,1,5,6,0,29,48,20,0,0,23,18,58,-396,-340,690,,49.8
Jeremy Lauzon,23,D,BOS,13.77,0,0,13.77,0,0,13.77,3,3,6,0,70,46,50,0,0,24,19,52,-411,-355,703,,49.8
Gemel Smith,26,"C,LW",TB,8.58,0,0,8.58,0,0,8.58,6,4,10,0,40,12,8,26,26,7,15,44,-466,-454,762,,49.6
Matthew Highmore,24,"LW,RW",CHI,9.47,0,0,9.47,0,0,9.47,4,6,10,0,57,13,10,2,3,15,24,52,-450,-437,754,,49.6
Nicolas Deslauriers,29,"LW,RW",ANA,9.29,0,0,9.29,0,0,9.29,4,4,8,0,143,26,40,0,1,8,9,56,-430,-417,747,,49.6
Ross Johnston,26,LW,NYI,7.99,0,0,7.99,0,0,7.99,5,5,10,0,130,19,50,2,2,9,6,33,-475,-462,764,,49.2
Matt Tennyson,30,D,NJ,11.89,0,0,11.89,0,0,11.89,0,7,7,0,75,50,17,0,0,21,17,39,-426,-370,715,,48.8
Gaetan Haas,29,C,EDM,8.91,0,0,8.91,0,0,8.91,4,4,8,0,54,27,6,153,209,20,21,49,-446,-468,769,,48.6
Noah Gregor,22,"C,LW,RW",SJ,9.75,0,0,9.75,0,0,9.75,5,4,9,0,99,11,18,14,26,15,13,61,-448,-435,752,,48.6
Brett Ritchie,27,RW,BOS,9.67,0,0,9.67,0,0,9.67,5,4,9,0,150,8,41,3,6,10,7,67,-442,-445,758,,48.6
Ilya Lyubushkin,26,D,ARI,13.95,0,0,13.95,0,0,13.95,0,5,5,0,150,62,19,0,0,24,20,44,-407,-351,701,,48.6
Scott Sabourin,28,RW,OTT,6.89,0,0,6.89,0,0,6.89,4,5,9,0,108,19,34,0,2,9,9,48,-458,-461,763,,48.2
Joel L'Esperance,25,"C,RW",DAL,11.1,0,0,11.1,0,0,11.1,5,3,8,0,64,12,14,75,87,22,18,69,-442,-445,758,,47.6
Brendan Smith,31,"LW,RW,D",NYR,9.77,0,1.93,9.77,0,1.93,11.7,3,4,7,0,78,36,40,0,0,21,18,46,-445,-389,732,,47.6
Josh Brown,27,D,FLA,12.77,0,0,12.77,0,0,12.77,2,4,6,0,92,45,29,0,0,22,18,48,-430,-374,719,,47.6
Valentin Zykov,25,"LW,RW",VGK,8.65,0,0,8.65,0,0,8.65,5,4,9,0,49,12,5,5,11,25,16,49,-477,-464,767,,46.6
Dalton Prout,30,D,SJ,11.82,0,0,11.82,0,0,11.82,2,4,6,0,91,45,23,0,0,21,17,43,-444,-388,730,,46.6
Rasmus Asplund,23,"C,RW",BUF,9.18,0,1.89,9.18,0,1.89,11.07,3,5,8,0,39,14,12,97,129,14,9,69,-444,-446,760,,46.4
Sheldon Dries,26,"C,LW",COL,8.21,0,0,8.21,0,0,8.21,4,3,7,0,89,24,35,71,71,10,6,57,-454,-442,755,,46
J.C. Beaudin,23,C,OTT,8.61,0,0,8.61,0,0,8.61,2,6,8,0,128,27,19,161,137,6,5,45,-466,-488,776,,45.8
Yannick Weber,32,D,NSH,12.97,0,0,12.97,0,0,12.97,2,3,5,0,54,44,19,0,0,23,18,56,-431,-375,720,,45.8
Jordan Schmaltz,27,D,NYI,11.38,0,0,11.38,0,0,11.38,0,5,5,0,25,59,7,0,0,20,16,35,-443,-387,728,,45.6
Jakob Lilja,27,"LW,RW",CBJ,9.7,0,0,9.7,0,0,9.7,3,4,7,0,27,35,4,3,2,11,13,35,-478,-466,768,,45
Andreas Martinsen,30,"LW,RW",PIT,7.7,0,0,7.7,0,0,7.7,3,5,8,0,135,20,29,8,10,16,6,49,-476,-463,766,,44.8
Lukas Sedlak,27,"C,LW,RW",CBJ,8.43,0,0,8.43,0,0,8.43,5,2,7,0,81,22,12,103,85,10,8,48,-481,-469,770,,44.4
J.T. Brown,30,RW,MIN,8.66,0,0,8.66,0,0,8.66,3,5,8,0,91,18,17,30,36,11,14,49,-483,-486,775,,44
John Quenneville,24,"C,LW,RW",CHI,10.52,0,0,10.52,0,0,10.52,3,5,8,0,61,20,13,13,23,9,11,45,-487,-474,773,,44
Connor Clifton,25,D,BOS,14.5,0,0,14.5,0,0,14.5,1,3,4,0,138,54,21,0,0,25,20,47,-443,-387,728,,44
Luke Schenn,31,D,TB,11.04,0,0,11.04,0,0,11.04,1,3,4,0,133,50,34,0,0,19,15,54,-439,-383,726,,43.8
Ashton Sautner,26,D,VAN,14.39,0,0,14.39,0,0,14.39,0,3,3,0,82,51,8,0,0,25,20,64,-432,-376,722,,42.2
Zach Whitecloud,24,D,VGK,13.48,0,0,13.48,0,0,13.48,0,6,6,0,33,43,15,0,0,23,19,34,-485,-429,751,,42
Mikhail Vorobyev,24,C,PHI,9.84,0,0,9.84,0,0,9.84,3,6,9,0,8,9,18,218,165,11,14,40,-521,-544,785,,41.6
Ian McCoshen,25,D,CHI,12.77,0,0,12.77,0,0,12.77,2,3,5,0,113,38,29,0,0,22,18,47,-478,-422,748,,41.6
Phil Varone,30,"LW,RW",PIT,7.82,0,0,7.82,0,0,7.82,3,4,7,0,25,22,10,93,94,13,6,40,-512,-500,779,,40.8
Christoffer Ehn,24,"C,LW,RW",DET,9.42,0,1.31,9.42,0,1.31,10.74,2,5,7,0,63,23,4,94,122,13,9,41,-511,-498,778,,40.4
Jonathan Ericsson,36,D,DET,12.79,0,2.46,12.79,0,2.46,15.24,1,2,3,0,82,50,14,0,0,30,20,51,-466,-410,741,,40.2
Connor Bunnaman,22,C,PHI,9.55,0,0,9.55,0,0,9.55,3,5,8,0,80,7,6,100,164,11,5,50,-521,-543,784,,39.8
Kurtis Gabriel,27,RW,PHI,7.62,0,0,7.62,0,0,7.62,3,5,8,0,136,20,47,1,1,11,5,22,-549,-552,788,,39.4
Logan Shaw,29,"LW,RW",WPG,7.02,0,0,7.02,0,0,7.02,4,2,6,0,46,22,3,24,24,9,4,38,-533,-520,782,,38.4
Jake Dotchin,26,D,STL,12.24,0,0,12.24,0,0,12.24,1,3,4,0,119,46,42,0,0,21,17,34,-508,-452,761,,38.2
Frederick Gaudreau,27,C,NSH,8.95,0,0,8.95,0,0,8.95,2,5,7,0,22,17,5,165,167,8,13,41,-533,-555,789,,38
Lias Andersson,22,"C,LW",NYR,8.4,0,0,8.4,0,0,8.4,2,5,7,0,71,16,15,118,129,11,22,43,-531,-518,781,,38
Blake Pietila,27,"C,LW",ANA,11.8,0,0,11.8,0,0,11.8,2,5,7,0,104,11,19,85,110,8,23,49,-533,-520,782,,37.2
Remi Elie,25,LW,BUF,9.49,0,0,9.49,0,0,9.49,3,4,7,0,91,10,11,4,3,14,10,40,-557,-544,785,,36
Luke Witkowski,30,"RW,D",TB,8.37,0,0,8.37,0,0,8.37,1,5,6,0,116,28,45,1,1,23,5,28,-552,-496,777,,35.8
Aaron Ness,30,D,ARI,12.1,0,0,12.1,0,0,12.1,0,4,4,0,37,44,4,0,0,21,17,30,-531,-475,774,,35.6
Cody Goloubef,31,D,DET,13.33,0,0,13.33,0,0,13.33,1,3,4,0,90,35,13,0,0,23,19,42,-527,-471,772,,35.4
Jason Garrison,36,D,CHI,10.78,0,0,10.78,0,0,10.78,0,1,1,0,39,58,29,0,0,19,15,44,-499,-443,756,,35
Joel Hanley,29,D,DAL,12.8,0,0,12.8,0,0,12.8,0,3,3,0,54,46,8,0,0,22,18,36,-526,-470,771,,34.6
Andrew Agozzino,30,"C,LW",ANA,6.79,0,0,6.79,0,0,6.79,2,5,7,0,64,18,10,91,95,10,13,20,-586,-573,790,,34.2
Andreas Englund,25,D,OTT,9.99,0,0,9.99,0,0,9.99,0,5,5,0,111,28,20,0,0,17,14,30,-570,-514,780,,32.2
Chris Stewart,33,RW,PHI,7.72,0,0,7.72,0,0,7.72,3,3,6,0,100,13,14,1,1,6,9,26,-603,-606,793,,31.4
Micheal Haley,34,"C,LW",NYR,6,0,0,6,0,0,6,3,2,5,0,87,15,41,17,15,13,4,27,-612,-600,792,,29.4
Cody McLeod,36,LW,MIN,6.87,0,0,6.87,0,0,6.87,2,2,4,0,120,17,36,0,2,5,5,35,-607,-594,791,,27.8
T.J. Tynan,28,"C,RW",COL,7.67,0,0,7.67,0,0,7.67,1,4,5,0,24,10,7,12,54,5,17,23,-651,-654,796,,24.6
Dylan McIlrath,28,D,DET,12.17,0,0,12.17,0,0,12.17,0,1,1,0,122,32,52,0,0,21,17,42,-600,-544,785,,24.2
Brad Malone,31,"C,LW",EDM,7.92,0,0,7.92,0,0,7.92,1,1,2,0,111,17,8,98,118,6,4,44,-626,-613,794,,22.6
Joona Luoto,23,LW,WPG,7.06,0,0,7.06,0,0,7.06,1,0,1,0,38,27,8,0,0,19,11,35,-633,-620,795,,21.8
David Gustafsson,20,C,WPG,7.1,0,0,7.1,0,0,7.1,2,1,3,0,15,15,2,101,87,5,4,17,-683,-705,797,,20.4
